titulo,genero,duracion,tono,anio,calificacion
The Shawshank Redemption,Drama,larga,serio,1994,9.3
The Godfather,"Crime, Drama",larga,serio,1972,9.2
The Dark Knight,"Action, Crime, Drama",larga,serio,2008,9.0
The Godfather: Part II,"Crime, Drama",larga,serio,1974,9.0
12 Angry Men,"Crime, Drama",media,serio,1957,9.0
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",larga,serio,2003,8.9
Pulp Fiction,"Crime, Drama",larga,serio,1994,8.9
Schindler's List,"Biography, Drama, History",larga,serio,1993,8.9
Inception,"Action, Adventure, Sci-Fi",larga,emocionante,2010,8.8
Fight Club,Drama,larga,serio,1999,8.8
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",larga,serio,2001,8.8
Forrest Gump,"Drama, Romance",larga,serio,1994,8.8
"Il buono, il brutto, il cattivo",Western,larga,neutral,1966,8.8
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",larga,serio,2002,8.7
The Matrix,"Action, Sci-Fi",larga,emocionante,1999,8.7
Goodfellas,"Biography, Crime, Drama",larga,serio,1990,8.7
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",larga,emocionante,1980,8.7
One Flew Over the Cuckoo's Nest,Drama,larga,serio,1975,8.7
Hamilton,"Biography, Drama, History",larga,serio,2020,8.6
Gisaengchung,"Comedy, Drama, Thriller",larga,divertido,2019,8.6
Soorarai Pottru,Drama,larga,serio,2020,8.6
Interstellar,"Adventure, Drama, Sci-Fi",larga,serio,2014,8.6
Cidade de Deus,"Crime, Drama",larga,serio,2002,8.6
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",larga,neutral,2001,8.6
Saving Private Ryan,"Drama, War",larga,serio,1998,8.6
The Green Mile,"Crime, Drama, Fantasy",larga,serio,1999,8.6
La vita è bella,"Comedy, Drama, Romance",media,divertido,1997,8.6
Se7en,"Crime, Drama, Mystery",larga,serio,1995,8.6
The Silence of the Lambs,"Crime, Drama, Thriller",media,serio,1991,8.6
Star Wars,"Action, Adventure, Fantasy",larga,emocionante,1977,8.6
Seppuku,"Action, Drama, Mystery",larga,serio,1962,8.6
Shichinin no samurai,"Action, Adventure, Drama",larga,serio,1954,8.6
It's a Wonderful Life,"Drama, Family, Fantasy",larga,serio,1946,8.6
Joker,"Crime, Drama, Thriller",larga,serio,2019,8.5
Whiplash,"Drama, Music",media,serio,2014,8.5
The Intouchables,"Biography, Comedy, Drama",media,divertido,2011,8.5
The Prestige,"Drama, Mystery, Sci-Fi",larga,serio,2006,8.5
The Departed,"Crime, Drama, Thriller",larga,serio,2006,8.5
The Pianist,"Biography, Drama, Music",larga,serio,2002,8.5
Gladiator,"Action, Adventure, Drama",larga,serio,2000,8.5
American History X,Drama,media,serio,1998,8.5
The Usual Suspects,"Crime, Mystery, Thriller",media,neutral,1995,8.5
Léon,"Action, Crime, Drama",media,serio,1994,8.5
The Lion King,"Animation, Adventure, Drama",corta,serio,1994,8.5
Terminator 2: Judgment Day,"Action, Sci-Fi",larga,emocionante,1991,8.5
Nuovo Cinema Paradiso,"Drama, Romance",larga,serio,1988,8.5
Hotaru no haka,"Animation, Drama, War",corta,serio,1988,8.5
Back to the Future,"Adventure, Comedy, Sci-Fi",media,divertido,1985,8.5
Once Upon a Time in the West,Western,larga,neutral,1968,8.5
Psycho,"Horror, Mystery, Thriller",media,oscuro,1960,8.5
Casablanca,"Drama, Romance, War",media,serio,1942,8.5
Modern Times,"Comedy, Drama, Family",corta,divertido,1936,8.5
City Lights,"Comedy, Drama, Romance",corta,divertido,1931,8.5
Capharnaüm,Drama,larga,serio,2018,8.4
Ayla: The Daughter of War,"Biography, Drama, History",larga,serio,2017,8.4
Vikram Vedha,"Action, Crime, Drama",larga,serio,2017,8.4
Kimi no na wa.,"Animation, Drama, Fantasy",media,serio,2016,8.4
Dangal,"Action, Biography, Drama",larga,serio,2016,8.4
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",media,emocionante,2018,8.4
Avengers: Endgame,"Action, Adventure, Drama",larga,serio,2019,8.4
Avengers: Infinity War,"Action, Adventure, Sci-Fi",larga,emocionante,2018,8.4
Coco,"Animation, Adventure, Family",media,neutral,2017,8.4
Django Unchained,"Drama, Western",larga,serio,2012,8.4
The Dark Knight Rises,"Action, Adventure",larga,emocionante,2012,8.4
3 Idiots,"Comedy, Drama",larga,divertido,2009,8.4
Taare Zameen Par,"Drama, Family",larga,serio,2007,8.4
WALL·E,"Animation, Adventure, Family",media,neutral,2008,8.4
The Lives of Others,"Drama, Mystery, Thriller",larga,serio,2006,8.4
Oldeuboi,"Action, Drama, Mystery",media,serio,2003,8.4
Memento,"Mystery, Thriller",media,neutral,2000,8.4
Mononoke-hime,"Animation, Action, Adventure",larga,emocionante,1997,8.4
Once Upon a Time in America,"Crime, Drama",larga,serio,1984,8.4
Raiders of the Lost Ark,"Action, Adventure",media,emocionante,1981,8.4
The Shining,"Drama, Horror",larga,serio,1980,8.4
Apocalypse Now,"Drama, Mystery, War",larga,serio,1979,8.4
Alien,"Horror, Sci-Fi",media,oscuro,1979,8.4
Anand,"Drama, Musical",larga,serio,1971,8.4
Tengoku to jigoku,"Crime, Drama, Mystery",larga,serio,1963,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,media,divertido,1964,8.4
Witness for the Prosecution,"Crime, Drama, Mystery",media,serio,1957,8.4
Paths of Glory,"Drama, War",corta,serio,1957,8.4
Rear Window,"Mystery, Thriller",media,neutral,1954,8.4
Sunset Blvd.,"Drama, Film-Noir",media,serio,1950,8.4
The Great Dictator,"Comedy, Drama, War",larga,divertido,1940,8.4
1917,"Drama, Thriller, War",media,serio,2019,8.3
Tumbbad,"Drama, Fantasy, Horror",media,serio,2018,8.3
Andhadhun,"Crime, Drama, Music",larga,serio,2018,8.3
Drishyam,"Crime, Drama, Thriller",larga,serio,2013,8.3
Jagten,Drama,media,serio,2012,8.3
Jodaeiye Nader az Simin,Drama,larga,serio,2011,8.3
Incendies,"Drama, Mystery, War",larga,serio,2010,8.3
Miracle in cell NO.7,Drama,larga,serio,2019,8.3
Babam ve Oglum,"Drama, Family",media,serio,2005,8.3
Inglourious Basterds,"Adventure, Drama, War",larga,serio,2009,8.3
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",media,serio,2004,8.3
Amélie,"Comedy, Romance",larga,divertido,2001,8.3
Snatch,"Comedy, Crime",media,divertido,2000,8.3
Requiem for a Dream,Drama,media,serio,2000,8.3
American Beauty,Drama,larga,serio,1999,8.3
Good Will Hunting,"Drama, Romance",larga,serio,1997,8.3
Bacheha-Ye aseman,"Drama, Family, Sport",corta,serio,1997,8.3
