titulo,genero,duracion,tono,anio,calificacion
the shawshank redemption,Drama,larga,serio,1994,9.3
the godfather,"Crime, Drama",larga,serio,1972,9.2
the dark knight,"Action, Crime, Drama",larga,serio,2008,9.0
the godfather: part ii,"Crime, Drama",larga,serio,1974,9.0
12 angry men,"Crime, Drama",media,serio,1957,9.0
the lord of the rings: the return of the king,"Action, Adventure, Drama",larga,serio,2003,8.9
pulp fiction,"Crime, Drama",larga,serio,1994,8.9
schindler's list,"Biography, Drama, History",larga,serio,1993,8.9
inception,"Action, Adventure, Sci-Fi",larga,emocionante,2010,8.8
fight club,Drama,larga,serio,1999,8.8
the lord of the rings: the fellowship of the ring,"Action, Adventure, Drama",larga,serio,2001,8.8
forrest gump,"Drama, Romance",larga,serio,1994,8.8
"il buono, il brutto, il cattivo",Western,larga,neutral,1966,8.8
the lord of the rings: the two towers,"Action, Adventure, Drama",larga,serio,2002,8.7
the matrix,"Action, Sci-Fi",larga,emocionante,1999,8.7
goodfellas,"Biography, Crime, Drama",larga,serio,1990,8.7
star wars: episode v - the empire strikes back,"Action, Adventure, Fantasy",larga,emocionante,1980,8.7
one flew over the cuckoo's nest,Drama,larga,serio,1975,8.7
hamilton,"Biography, Drama, History",larga,serio,2020,8.6
gisaengchung,"Comedy, Drama, Thriller",larga,divertido,2019,8.6
soorarai pottru,Drama,larga,serio,2020,8.6
interstellar,"Adventure, Drama, Sci-Fi",larga,serio,2014,8.6
cidade de deus,"Crime, Drama",larga,serio,2002,8.6
sen to chihiro no kamikakushi,"Animation, Adventure, Family",larga,neutral,2001,8.6
saving private ryan,"Drama, War",larga,serio,1998,8.6
the green mile,"Crime, Drama, Fantasy",larga,serio,1999,8.6
la vita è bella,"Comedy, Drama, Romance",media,divertido,1997,8.6
se7en,"Crime, Drama, Mystery",larga,serio,1995,8.6
the silence of the lambs,"Crime, Drama, Thriller",media,serio,1991,8.6
star wars,"Action, Adventure, Fantasy",larga,emocionante,1977,8.6
seppuku,"Action, Drama, Mystery",larga,serio,1962,8.6
shichinin no samurai,"Action, Adventure, Drama",larga,serio,1954,8.6
it's a wonderful life,"Drama, Family, Fantasy",larga,serio,1946,8.6
joker,"Crime, Drama, Thriller",larga,serio,2019,8.5
whiplash,"Drama, Music",media,serio,2014,8.5
the intouchables,"Biography, Comedy, Drama",media,divertido,2011,8.5
the prestige,"Drama, Mystery, Sci-Fi",larga,serio,2006,8.5
the departed,"Crime, Drama, Thriller",larga,serio,2006,8.5
the pianist,"Biography, Drama, Music",larga,serio,2002,8.5
gladiator,"Action, Adventure, Drama",larga,serio,2000,8.5
american history x,Drama,media,serio,1998,8.5
the usual suspects,"Crime, Mystery, Thriller",media,neutral,1995,8.5
léon,"Action, Crime, Drama",media,serio,1994,8.5
the lion king,"Animation, Adventure, Drama",corta,serio,1994,8.5
terminator 2: judgment day,"Action, Sci-Fi",larga,emocionante,1991,8.5
nuovo cinema paradiso,"Drama, Romance",larga,serio,1988,8.5
hotaru no haka,"Animation, Drama, War",corta,serio,1988,8.5
back to the future,"Adventure, Comedy, Sci-Fi",media,divertido,1985,8.5
once upon a time in the west,Western,larga,neutral,1968,8.5
psycho,"Horror, Mystery, Thriller",media,oscuro,1960,8.5
casablanca,"Drama, Romance, War",media,serio,1942,8.5
modern times,"Comedy, Drama, Family",corta,divertido,1936,8.5
city lights,"Comedy, Drama, Romance",corta,divertido,1931,8.5
capharnaüm,Drama,larga,serio,2018,8.4
ayla: the daughter of war,"Biography, Drama, History",larga,serio,2017,8.4
vikram vedha,"Action, Crime, Drama",larga,serio,2017,8.4
kimi no na wa.,"Animation, Drama, Fantasy",media,serio,2016,8.4
dangal,"Action, Biography, Drama",larga,serio,2016,8.4
spider-man: into the spider-verse,"Animation, Action, Adventure",media,emocionante,2018,8.4
avengers: endgame,"Action, Adventure, Drama",larga,serio,2019,8.4
avengers: infinity war,"Action, Adventure, Sci-Fi",larga,emocionante,2018,8.4
coco,"Animation, Adventure, Family",media,neutral,2017,8.4
django unchained,"Drama, Western",larga,serio,2012,8.4
the dark knight rises,"Action, Adventure",larga,emocionante,2012,8.4
3 idiots,"Comedy, Drama",larga,divertido,2009,8.4
taare zameen par,"Drama, Family",larga,serio,2007,8.4
wall·e,"Animation, Adventure, Family",media,neutral,2008,8.4
the lives of others,"Drama, Mystery, Thriller",larga,serio,2006,8.4
oldeuboi,"Action, Drama, Mystery",media,serio,2003,8.4
memento,"Mystery, Thriller",media,neutral,2000,8.4
mononoke-hime,"Animation, Action, Adventure",larga,emocionante,1997,8.4
once upon a time in america,"Crime, Drama",larga,serio,1984,8.4
raiders of the lost ark,"Action, Adventure",media,emocionante,1981,8.4
the shining,"Drama, Horror",larga,serio,1980,8.4
apocalypse now,"Drama, Mystery, War",larga,serio,1979,8.4
alien,"Horror, Sci-Fi",media,oscuro,1979,8.4
anand,"Drama, Musical",larga,serio,1971,8.4
tengoku to jigoku,"Crime, Drama, Mystery",larga,serio,1963,8.4
dr. strangelove or: how i learned to stop worrying and love the bomb,Comedy,media,divertido,1964,8.4
witness for the prosecution,"Crime, Drama, Mystery",media,serio,1957,8.4
paths of glory,"Drama, War",corta,serio,1957,8.4
rear window,"Mystery, Thriller",media,neutral,1954,8.4
sunset blvd.,"Drama, Film-Noir",media,serio,1950,8.4
the great dictator,"Comedy, Drama, War",larga,divertido,1940,8.4
1917,"Drama, Thriller, War",media,serio,2019,8.3
tumbbad,"Drama, Fantasy, Horror",media,serio,2018,8.3
andhadhun,"Crime, Drama, Music",larga,serio,2018,8.3
drishyam,"Crime, Drama, Thriller",larga,serio,2013,8.3
jagten,Drama,media,serio,2012,8.3
jodaeiye nader az simin,Drama,larga,serio,2011,8.3
incendies,"Drama, Mystery, War",larga,serio,2010,8.3
miracle in cell no.7,Drama,larga,serio,2019,8.3
babam ve oglum,"Drama, Family",media,serio,2005,8.3
inglourious basterds,"Adventure, Drama, War",larga,serio,2009,8.3
eternal sunshine of the spotless mind,"Drama, Romance, Sci-Fi",media,serio,2004,8.3
amélie,"Comedy, Romance",larga,divertido,2001,8.3
snatch,"Comedy, Crime",media,divertido,2000,8.3
requiem for a dream,Drama,media,serio,2000,8.3
american beauty,Drama,larga,serio,1999,8.3
good will hunting,"Drama, Romance",larga,serio,1997,8.3
bacheha-ye aseman,"Drama, Family, Sport",corta,serio,1997,8.3
toy story,"Animation, Adventure, Comedy",corta,divertido,1995,8.3
braveheart,"Biography, Drama, History",larga,serio,1995,8.3
reservoir dogs,"Crime, Drama, Thriller",media,serio,1992,8.3
full metal jacket,"Drama, War",media,serio,1987,8.3
idi i smotri,"Drama, Thriller, War",larga,serio,1985,8.3
